season,gameId,team,playerId,playerPosition,period,startTimeSeconds,endTimeSeconds,startGameTimeSeconds,endGameTimeSeconds
2024,2024020057,home,8474578,D,1,600,661,600,661
2024,2024020057,home,8474578,D,1,717,778,717,778
2024,2024020057,home,8474578,D,1,895,950,895,950
2024,2024020057,home,8474578,D,1,1003,1070,1003,1070
2024,2024020057,home,8474578,D,1,1154,1200,1154,1200
2024,2024020057,home,8474578,D,2,62,117,1262,1317
2024,2024020057,home,8474578,D,2,228,294,1428,1494
2024,2024020057,home,8474578,D,2,373,450,1573,1650
2024,2024020057,home,8474578,D,2,552,648,1752,1848
2024,2024020057,home,8474578,D,2,760,767,1960,1967
2024,2024020057,home,8474578,D,2,960,1008,2160,2208
2024,2024020057,home,8474578,D,2,1073,1174,2273,2374
2024,2024020057,home,8474578,D,3,39,132,2439,2532
2024,2024020057,home,8474578,D,3,188,206,2588,2606
2024,2024020057,home,8474578,D,3,325,363,2725,2763
2024,2024020057,home,8474578,D,3,432,513,2832,2913
2024,2024020057,home,8474578,D,3,616,656,3016,3056
2024,2024020057,home,8474578,D,3,782,846,3182,3246
2024,2024020057,home,8474578,D,3,910,974,3310,3374
2024,2024020057,home,8474578,D,3,1068,1154,3468,3554
2024,2024020057,home,8474578,D,4,0,30,3600,3630
2024,2024020057,home,8474578,D,4,43,98,3643,3698
2024,2024020057,away,8475722,L,1,0,19,0,19
2024,2024020057,away,8475722,L,1,151,188,151,188
2024,2024020057,away,8475722,L,1,299,356,299,356
2024,2024020057,away,8475722,L,1,555,600,555,600
2024,2024020057,away,8475722,L,1,717,729,717,729
2024,2024020057,away,8475722,L,1,899,950,899,950
2024,2024020057,away,8475722,L,1,1113,1157,1113,1157
2024,2024020057,away,8475722,L,2,0,37,1200,1237
2024,2024020057,away,8475722,L,2,250,309,1450,1509
2024,2024020057,away,8475722,L,2,403,498,1603,1698
2024,2024020057,away,8475722,L,2,618,621,1818,1821
2024,2024020057,away,8475722,L,2,767,826,1967,2026
2024,2024020057,away,8475722,L,2,973,1023,2173,2223
2024,2024020057,away,8475722,L,3,39,66,2439,2466
2024,2024020057,away,8475722,L,3,249,325,2649,2725
2024,2024020057,away,8475722,L,3,463,515,2863,2915
2024,2024020057,away,8475722,L,3,616,656,3016,3056
2024,2024020057,away,8475722,L,3,737,783,3137,3183
2024,2024020057,away,8475722,L,3,870,897,3270,3297
2024,2024020057,away,8475722,L,3,995,1018,3395,3418
2024,2024020057,away,8475722,L,3,1086,1154,3486,3554
2024,2024020057,home,8475763,R,1,97,150,97,150
2024,2024020057,home,8475763,R,1,284,305,284,305
2024,2024020057,home,8475763,R,1,426,484,426,484
2024,2024020057,home,8475763,R,1,693,717,693,717
2024,2024020057,home,8475763,R,1,898,949,898,949
2024,2024020057,home,8475763,R,2,62,131,1262,1331
2024,2024020057,home,8475763,R,2,716,767,1916,1967
2024,2024020057,home,8475763,R,2,920,973,2120,2173
2024,2024020057,home,8475763,R,2,1162,1200,2362,2400
2024,2024020057,home,8475763,R,3,132,188,2532,2588
2024,2024020057,home,8475763,R,3,225,272,2625,2672
2024,2024020057,home,8475763,R,3,518,575,2918,2975
2024,2024020057,home,8475763,R,3,706,737,3106,3137
2024,2024020057,home,8475810,R,1,19,43,19,43
2024,2024020057,home,8475810,R,1,188,243,188,243
2024,2024020057,home,8475810,R,1,354,389,354,389
2024,2024020057,home,8475810,R,1,565,661,565,661
2024,2024020057,home,8475810,R,1,717,776,717,776
2024,2024020057,home,8475810,R,1,952,1016,952,1016
2024,2024020057,home,8475810,R,1,1110,1156,1110,1156
2024,2024020057,home,8475810,R,2,43,62,1243,1262
2024,2024020057,home,8475810,R,2,117,182,1317,1382
2024,2024020057,home,8475810,R,2,369,450,1569,1650
2024,2024020057,home,8475810,R,2,640,689,1840,1889
2024,2024020057,home,8475810,R,2,832,908,2032,2108
2024,2024020057,home,8475810,R,2,1023,1177,2223,2377
2024,2024020057,home,8475810,R,3,0,39,2400,2439
2024,2024020057,home,8475810,R,3,83,124,2483,2524
2024,2024020057,home,8475810,R,3,188,206,2588,2606
2024,2024020057,home,8475810,R,3,276,319,2676,2719
2024,2024020057,home,8475810,R,3,400,433,2800,2833
2024,2024020057,home,8475810,R,3,577,616,2977,3016
2024,2024020057,home,8475810,R,3,737,781,3137,3181
2024,2024020057,home,8475810,R,3,870,905,3270,3305
2024,2024020057,home,8475810,R,3,1003,1035,3403,3435
2024,2024020057,home,8475810,R,3,1072,1154,3472,3554
2024,2024020057,home,8475810,R,4,0,36,3600,3636
2024,2024020057,home,8476483,R,1,0,19,0,19
2024,2024020057,home,8476483,R,1,128,188,128,188
2024,2024020057,home,8476483,R,1,305,352,305,352
2024,2024020057,home,8476483,R,1,483,564,483,564
2024,2024020057,home,8476483,R,1,776,847,776,847
2024,2024020057,home,8476483,R,1,1016,1073,1016,1073
2024,2024020057,home,8476483,R,1,1156,1192,1156,1192
2024,2024020057,home,8476483,R,2,0,43,1200,1243
2024,2024020057,home,8476483,R,2,279,369,1479,1569
2024,2024020057,home,8476483,R,2,753,832,1953,2032
2024,2024020057,home,8476483,R,2,973,1023,2173,2223
2024,2024020057,home,8476483,R,2,1174,1200,2374,2400
2024,2024020057,home,8476483,R,3,39,66,2439,2466
2024,2024020057,home,8476483,R,3,132,188,2532,2588
2024,2024020057,home,8476483,R,3,319,355,2719,2755
2024,2024020057,home,8476483,R,3,465,513,2865,2913
2024,2024020057,home,8476483,R,3,656,706,3056,3106
2024,2024020057,home,8476483,R,3,781,838,3181,3238
2024,2024020057,home,8476483,R,3,901,951,3301,3351
2024,2024020057,home,8476483,R,3,1092,1154,3492,3554
2024,2024020057,home,8476483,R,4,36,43,3636,3643
2024,2024020057,home,8476891,D,1,0,19,0,19
2024,2024020057,home,8476891,D,1,97,126,97,126
2024,2024020057,home,8476891,D,1,188,223,188,223
2024,2024020057,home,8476891,D,1,354,389,354,389
2024,2024020057,home,8476891,D,1,572,600,572,600
2024,2024020057,home,8476891,D,1,655,661,655,661
2024,2024020057,home,8476891,D,1,693,717,693,717
2024,2024020057,home,8476891,D,1,786,845,786,845
2024,2024020057,home,8476891,D,1,950,1003,950,1003
2024,2024020057,home,8476891,D,1,1115,1154,1115,1154
2024,2024020057,home,8476891,D,2,0,62,1200,1262
2024,2024020057,home,8476891,D,2,136,183,1336,1383
2024,2024020057,home,8476891,D,2,292,373,1492,1573
2024,2024020057,home,8476891,D,2,450,517,1650,1717
2024,2024020057,home,8476891,D,2,637,640,1837,1840
2024,2024020057,home,8476891,D,2,649,716,1849,1916
2024,2024020057,home,8476891,D,2,832,904,2032,2104
